gid	osm_id	code	fclass	name	coordinates
58183	1600625024	4111	peak	Irenberg	POINT(11.8516748 46.8061807)
58279	1601401916	4111	peak	Platte - Monte Plat	POINT(11.8937417 46.8427023)
58285	1601529540	4111	peak	Col Moschin	POINT(11.6940732 45.8602011)
58588	1603612258	4111	peak	Craist' Ota - Craist' Alta	POINT(10.4354243 46.7526998)
58589	1603612453	4111	peak	Pflaurenzer Kopf - Colle di Floronzo	POINT(11.8813891 46.7836712)
58590	1603612775	4111	peak	Piz Rasaß - Punta di Rasass	POINT(10.4474659 46.7478162)
58591	1603652062	4111	peak	Schadler	POINT(10.4095073 46.7273565)
58592	1603657652	4111	peak	Muntpitschen - Monpiccio	POINT(10.416068 46.7089985)
58593	1603662546	4111	peak	Fernerspitz - Punta della Vedretta	POINT(10.4188124 46.7191543)
58834	1606903208	4111	peak	Castellaro	POINT(11.8398159 45.7942815)
61604	1612932418	4111	peak	Monte Magnaboschi	POINT(11.4676242 45.8223661)
62361	1624212982	4111	peak	Plankenhorn - Corno Planca	POINT(11.511112 46.7183264)
62362	1624213015	4111	peak	Leierspitz - Monte Lira	POINT(11.5073615 46.7372236)
62363	1624218859	4111	peak	Hörtlahnerspitz - Punta Lavine	POINT(11.4848307 46.7752747)
62365	1624945903	4111	peak	Piza Scotoni - Cima Scotoni	POINT(12.0100098 46.5528771)
62366	1624945964	4111	peak	Piz dles Döes Forceles	POINT(11.9731793 46.5781566)
62367	1624945976	4111	peak	Lavarela de Fora	POINT(11.9673431 46.5838589)
62368	1624946024	4111	peak	Piz dl Zuber	POINT(11.9504523 46.6073919)
62369	1624946205	4111	peak	Kleiner Seekofel - Piccola Croda del Becco	POINT(12.0653166 46.675419)
62370	1624946228	4111	peak	Cima de Riciogogn	POINT(12.0370728 46.6764812)
62371	1624946471	4111	peak	Kleiner Gabler - Monte Forca Piccola	POINT(11.7588782 46.6939527)
62372	1624946484	4111	peak	Pfannspitz - Monte Fana	POINT(11.7515327 46.6950787)
62373	1624946542	4111	peak	Telegraph - Monte Telegrafo	POINT(11.7330698 46.7012759)
62374	1624946655	4111	peak	Coi Alc - Dreifingerspitz - Punta Tre Dita	POINT(11.9921019 46.7092844)
62375	1624971521	4111	peak	Karspitze - Punta Quaira	POINT(11.5634285 46.7612052)
62376	1624971551	4111	peak	Seekofel	POINT(11.5999025 46.7722171)
62377	1624971620	4111	peak	Sackermahdspitz - Punta Pradisacco	POINT(11.5464208 46.7806029)
62378	1624986443	4111	peak	Sulzspitz - Cima Sulz	POINT(11.4906084 46.7918516)
62379	1624986647	4111	peak	Mitterbichl - Col di Mezzo	POINT(11.4937766 46.8221129)
62389	1628956863	4111	peak	Breiter Kopf	POINT(11.8504163 46.9963091)
62390	1628956864	4111	peak	Ciomagne	POINT(11.933697 46.7457886)
62391	1628956866	4111	peak	Col Varencinch	POINT(11.862228 46.6693525)
62392	1628956871	4111	peak	Col de Pla	POINT(11.9564354 46.6932715)
62393	1628956883	4111	peak	Col dla Vedla	POINT(11.8463908 46.7120416)
62394	1628956884	4111	peak	\N	POINT(11.8972584 46.7050351)
62395	1628956885	4111	peak	Eggespitz	POINT(11.7783967 46.9099619)
62396	1628956888	4111	peak	Faden	POINT(11.9654498 46.96193)
62397	1628956891	4111	peak	Fadner	POINT(11.8555226 46.9186385)
62399	1628956906	4111	peak	Gamsburg	POINT(11.7728823 46.8773123)
62400	1628956908	4111	peak	Gelenknock	POINT(11.840777 46.9800736)
62401	1628956922	4111	peak	Getzenberg - Monghezzo	POINT(11.7318881 46.7883243)
62402	1628956924	4111	peak	Golaitkopf	POINT(11.8890835 46.9881815)
62403	1628956926	4111	peak	Gornerberg (Henne)	POINT(11.8527847 46.9162118)
62404	1628956930	4111	peak	Großer Nock	POINT(11.888482 46.9269655)
62405	1628956946	4111	peak	Großfadnler	POINT(11.8818811 46.9937624)
62406	1628956947	4111	peak	Gschirn - Monte Cirne	POINT(11.7115487 46.9264183)
62407	1628956958	4111	peak	Hantigenklammspitz	POINT(11.87121 46.9765391)
62408	1628956967	4111	peak	Hühnerspiel	POINT(11.9250168 46.8817057)
62409	1628956970	4111	peak	Hühnerspiel	POINT(11.9122457 46.9243046)
62410	1628956983	4111	peak	Hühnerspiel - Cima Gallina	POINT(11.9808697 46.9669449)
62411	1628956990	4111	peak	Innere Grüne Platte - Monte Corno di dentro	POINT(11.8414717 46.9898191)
62413	1628957002	4111	peak	Kandelknopf	POINT(11.911729 46.8743397)
62415	1628957028	4111	peak	Kleiner Magstein	POINT(11.7158529 46.9355957)
62416	1628957039	4111	peak	Kleinerer Nock	POINT(11.8999747 46.9314039)
62417	1628957045	4111	peak	Kleinfadnler	POINT(11.8950838 46.9828134)
62418	1628957061	4111	peak	Knapphenne	POINT(11.8691362 46.8694855)
62419	1628957083	4111	peak	Kreuzkofl - Sasso della Croce	POINT(11.9037559 46.9986727)
62420	1628957092	4111	peak	Königswand	POINT(11.7908774 46.8883632)
62421	1628957110	4111	peak	Lochwand	POINT(11.691541 46.9458689)
62422	1628957117	4111	peak	Magsteinwipfel - Picco del Sasso	POINT(11.7096218 46.9417773)
62423	1628957122	4111	peak	Milchegger	POINT(11.7595406 46.8828493)
62424	1628957148	4111	peak	Moosener Berg	POINT(11.9037189 46.7422182)
62425	1628957149	4111	peak	Möselnock	POINT(11.8453131 46.9741996)
