id,name,city,latitude,longitude,address
bus_stop3095,Quattro Strade,Trento,46.075588,11.128239,"Via della Cervara, Corallo, Cristo Re, Martignano, Trento, Territorio Val dAdige, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38122, Italia"
bus_stop3096,Quattro Strade,Trento,46.07615,11.128127,"Via delle Missioni Africane, Cristo Re, Martignano, Trento, Territorio Val dAdige, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38122, Italia"
bus_stop3097,Missioni Africane,Trento,46.078671,11.127108,"Via delle Missioni Africane, Cristo Re, Martignano, Trento, Territorio Val dAdige, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38122, Italia"
bus_stop3098,Monte Baldo Ghiaie,Trento,46.057153,11.11516,"48, Via Monte Baldo, Costa, Le Albere, Sardagna, Trento, Territorio Val dAdige, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38122, Italia"
bus_stop3099,Muredei Prati,Trento,46.056966,11.118122,"Muredei / Prati, Via dei Muredei, Clarina, San Pio X, Trento, Territorio Val dAdige, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38122, Italia"
bus_stop3100,Muredei Benevoli,Trento,46.053729,11.118202,"Via dei Muredei, Clarina, San Pio X, Trento, Territorio Val dAdige, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38122, Italia"
bus_stop3101,Oberziner Alpini,Trento,46.078744,11.117586,"6, Via Giovanni Oberziner, Cristo Re, Vela, Trento, Territorio Val dAdige, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38122, Italia"
bus_stop3102,Pasubio Adamello,Trento,46.06003,11.133378,"Via Pasubio, Bolghera, Oltrefersina, Villazzano, Trento, Territorio Val dAdige, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38100, Italia"
bus_stop3103,F.Lli Perini 3 Novembre,Trento,46.060903,11.124396,"Fratelli Perini / 3 Novembre, Via Fratelli Perini, Bolghera, San Giuseppe, Trento, Territorio Val dAdige, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38100, Italia"
bus_stop3104,"Piave ""Parco S.Chiara""",Trento,46.064151,11.12756,"Piave / ""Parco Santa Chiara"", Via Piave, Bolghera, Centro storico, Trento, Territorio Val dAdige, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38122, Italia"
bus_stop3105,Romagnosi Vannetti,Trento,46.072994,11.122647,"15, Via Gian Domenico Romagnosi, San Martino, Trento, Territorio Val dAdige, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38122, Italia"
bus_stop3106,"Rosmini ""Cimitero"" / Muse",Trento,46.064185,11.119427,"126, Via Antonio Rosmini, Bolghera, Le Albere, Trento, Territorio Val dAdige, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38122, Italia"
bus_stop3107,"Rosmini ""Cimitero"" / Muse",Trento,46.063746,11.119592,"Bonvecchio, 67, Via Antonio Rosmini, Bolghera, Le Albere, Trento, Territorio Val dAdige, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38122, Italia"
bus_stop3108,Rosmini S.Maria Maggiore,Trento,46.067847,11.118864,"Rosmini / Santa Maria Maggiore, Via Antonio Rosmini, Bolghera, Centro storico, Trento, Territorio Val dAdige, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38122, Italia"
bus_stop3109,Rosmini S.Maria Maggiore,Trento,46.068101,11.118638,"Rosmini / Santa Maria Maggiore, Via Antonio Rosmini, Bolghera, Centro storico, Trento, Territorio Val dAdige, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38122, Italia"
bus_stop3110,"3 Nov. ""Centro S.Chiara""",Trento,46.062231,11.123668,"28, Corso III Novembre, Bolghera, San Giuseppe, Trento, Territorio Val dAdige, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38122, Italia"
bus_stop3111,"3 Nov. ""Centro S.Chiara""",Trento,46.062181,11.123928,"32, Corso III Novembre, Bolghera, San Giuseppe, Trento, Territorio Val dAdige, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38122, Italia"
bus_stop3112,S.Francesco Porta Nuova,Trento,46.067076,11.126223,"Kebab Venezia, 2/A, Via San Francesco dAssisi, Bolghera, Centro storico, Trento, Territorio Val dAdige, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38122, Italia"
bus_stop3113,S.Pio X Matteotti,Trento,46.056397,11.119941,"San Pio X / Matteotti, Via San Pio X, Clarina, San Pio X, Trento, Territorio Val dAdige, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38122, Italia"
bus_stop3114,S.Pio X Largo Prati,Trento,46.056863,11.11912,"8, Via San Pio X, Clarina, San Pio X, Trento, Territorio Val dAdige, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38122, Italia"
bus_stop3115,S.Pio X Benevoli,Trento,46.053951,11.120493,"San Pio X / Benevoli, Via San Pio X, Clarina, San Pio X, Trento, Territorio Val dAdige, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38122, Italia"
bus_stop3116,S.Pio X Benevoli,Trento,46.053807,11.120733,"San Pio X / Benevoli, Via San Pio X, Clarina, San Pio X, Trento, Territorio Val dAdige, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38122, Italia"
bus_stop3117,Sanseverino S.Nicolò,Trento,46.052352,11.112013,"Sanseverino / ""San Nicolò"", Via Roberto da Sanseverino, Costa, Le Albere, Sardagna, Trento, Territorio Val dAdige, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38122, Italia"
bus_stop3118,Sanseverino S.Nicolò,Trento,46.051036,11.111606,"Sanseverino / ""San Nicolò"", Via Roberto da Sanseverino, Belvedere, San Giuseppe, Ravina, Trento, Territorio Val dAdige, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38122, Italia"
bus_stop3119,Segantini Centa,Trento,46.075602,11.122395,"Via Giovanni Segantini, Cristo Re, Martignano, Trento, Territorio Val dAdige, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38122, Italia"
bus_stop3120,Segantini Dogana,Trento,46.074211,11.121457,"Segantini / Dogana, Via Giovanni Segantini, Cristo Re, Martignano, Trento, Territorio Val dAdige, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38122, Italia"
bus_stop3121,"Solteri ""Piazzina""",Trento,46.08549,11.122558,"Torre Verde Immobiliari, 49/1, Via dei Solteri, Centochiavi, Solteri, Martignano, Trento, Territorio Val dAdige, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38121, Italia"
bus_stop3122,"Solteri ""Piazzina""",Trento,46.085517,11.122387,"Torre Verde Immobiliari, 49/1, Via dei Solteri, Centochiavi, Solteri, Martignano, Trento, Territorio Val dAdige, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38121, Italia"
bus_stop3123,Solteri Largaiolli,Trento,46.089937,11.120938,"15/1, Via dei Solteri, Centochiavi, Solteri, Martignano, Trento, Territorio Val dAdige, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38121, Italia"
bus_stop3124,Solteri Largaiolli,Trento,46.090006,11.120772,"Via dei Solteri, Centochiavi, Solteri, Martignano, Trento, Territorio Val dAdige, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38121, Italia"
