id;address;city;name;latitude;longitude
gas_55;Esso, Via Maso della Pieve - Pfarrhofstraße, Oltrisarco - Oberau, Oltrisarco-Aslago - Oberau-Haslach, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39100, Italia;Bolzano - Bozen;Esso;46.473652;11.337189
gas_56;Api, Via Bassane, Casonetto, Pagnano, Asolo, Fonte, Treviso, Veneto, 31011, Italia;Pagnano;Api;45.811079;11.9095316
gas_57;Eni, Atzwanger Straße - Via Campodazzo, Stegwirtsgut, Ritten - Renon, Salten-Schlern - Salto-Sciliar, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39040, Italia;Ritten - Renon;Agip;46.5143794;11.4777035
gas_58;Tamoil, Strada Provinciale 79 del Brocon, Revedea, Canal San Bovo, Comunità di Primiero, Provincia di Trento, Trentino-Alto Adige/Südtirol, Italia;Canal San Bovo;Tamoil;46.1498412;11.7351753
gas_59;Costantin, Via Vigne Basse, San Paolo, Borgo Sant'Avvocato, Anzù, Feltre, Belluno, Veneto, 32032, Italia;Anzù;Costantin;46.0119591;11.9258413
gas_60;Noal oil, Via Don Luigi Ceccato, Malombra, Contrada dei Schit, Fonte Alto, Fonte, Treviso, Veneto, 31017, Italia;Fonte Alto;Noal oil;45.8033602;11.8661329
gas_61;Agip, Via Asolana, Santa Margherita, Fonte, Treviso, Veneto, 31011, Italia;One;Agip;45.7853199;11.889767
gas_62;Esso, 5, Bozner Straße - Via Bolzano, St. Michael - San Michele, Eppan an der Weinstraße - Appiano sulla Strada del Vino, Überetsch-Unterland - Oltradige-Bassa Atesina, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39057, Italia;St. Michael - San Michele;Esso;46.4586185;11.261065
gas_63;Q8, Via Molinetto, Canil, Crespano del Grappa, Pieve del Grappa, Treviso, Veneto, 31017, Italia;Crespano del Grappa;Q8;45.82653;11.835699
gas_64;Total, Hauptstraße - Via Principale, Welsberg - Monguelfo, Welsberg-Taisten - Monguelfo-Tesido, Pustertal - Val Pusteria, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39035, Italia;Welsberg-Taisten - Monguelfo-Tesido;Total;46.758391;12.1028276
gas_65;Oil Italia, Via Vallorgana, Ponte di Pagnano, Pagnano, Asolo, Fonte, Treviso, Veneto, 31011, Italia;Pagnano;Oil Italia;45.8040738;11.8928649
gas_66;Agip, Via per Trento, Madrano, Pergine Valsugana, Comunità Alta Valsugana e Bersntol, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38034, Italia;Madrano;Agip;46.0759963;11.2071347
gas_67;IP, Strada Statale 47 della Valsugana, Maso Valderban, San Cristoforo al Lago, Pergine Valsugana, Comunità Alta Valsugana e Bersntol, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38057, Italia;San Cristoforo al Lago;IP;46.0450899;11.2350485
gas_68;GNP, 27, Via al Lago, Canale, Pergine Valsugana, Comunità Alta Valsugana e Bersntol, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38057, Italia;Canale;GNP;46.0488907;11.2353864
gas_69;Esso, SS47, Larganza, Marter, Roncegno Terme, Comunità Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38051, Italia;Marter;Esso;46.0444502;11.4232665
gas_70;Agip, Viale Dante, Fornaci, Pergine Valsugana, Comunità Alta Valsugana e Bersntol, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38057, Italia;Pergine Valsugana;Agip;46.068552;11.2251508
gas_71;Noaloil, Via San Gaetano, Posa, Botignoli, Castelcucco, Fonte, Treviso, Veneto, 31054, Italia;Castelcucco;Noaloil;45.8261422;11.885038
gas_72;Esso, Strada Statale 47 della Valsugana, Belvederi di Tezze, Masi Orne, Tezze Valsugana, Grigno, Comunità Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38055, Italia;Tezze Valsugana;Esso;45.996838;11.666166
gas_73;IP, SS47, Ceggio, Prai da Brenta, Castelnuovo, Comunità Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38051, Italia;Castelnuovo;IP;46.0508176;11.485182
gas_74;Esso, 2, Località Prai da Brenta, Castelnuovo, Comunità Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38050, Italia;Castelnuovo;Esso;46.0513415;11.4844751
gas_75;Stazione di servizio GNP - Marter, Strada Statale 47 della Valsugana, Marter, Roncegno Terme, Comunità Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38050, Italia;Marter;Stazione di servizio GNP - Marter;46.0342872;11.3951273
gas_76;Eni, Strada Statale 47 della Valsugana, Santa Giuliana, Levico Terme, Comunità Alta Valsugana e Bersntol, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38056, Italia;Santa Giuliana;Eni;46.0028164;11.2955451
gas_77;Q8, Statale Valsugana, Fornaci, Susà, Pergine Valsugana, Comunità Alta Valsugana e Bersntol, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38057, Italia;Susà;Q8;46.058533;11.23017
gas_78;Esso, LS/SP127, Kaltern an der Weinstraße - Caldaro sulla Strada del Vino, Überetsch-Unterland - Oltradige-Bassa Atesina, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39052, Italia;Kaltern an der Weinstraße - Caldaro sulla Strada del Vino;Esso;46.348083;11.265682
gas_79;Agip, Via Granatieri di Sardegna, Cogollo del Cengio, Vicenza, Veneto, 36013, Italia;Cogollo del Cengio;Agip;45.7889421;11.4118959
gas_80;Esso, Via San Pio X, Pieve, Cavaso del Tomba, Treviso, Veneto, 31054, Italia;Cavaso del Tomba;Esso;45.863551;11.900811
gas_81;IP, Via Roma, Salieto, Campo di Sopra, Zuel di Sopra, Cortina d'Ampezzo, Belluno, Veneto, 32043, Italia;Zuel di Sopra;IP;46.5320973;12.1400307
gas_82;Carburanti Dolomiti, Via Roma, Sorive, Mezzano, Comunità di Primiero, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38054, Italia;Mezzano;Carburanti Dolomiti;46.156708;11.815474
gas_83;Esso, 19, Via San Floriano - St.-Florian-Straße, Laag - Laghetti, Neumarkt - Egna, Überetsch-Unterland - Oltradige-Bassa Atesina, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39044, Italia;Neumarkt - Egna;Esso;46.2835862;11.2406891
gas_84;Esso, Via Giosuè Carducci, Reane, Auronzo di Cadore, Belluno, Veneto, 32041, Italia;Auronzo;Esso;46.556913;12.427683
gas_85;Tamoil, Via Cella, Auronzo di Cadore, Belluno, Veneto, Italia;Auronzo;Tamoil;46.5437447;12.4593056
gas_86;Esso, Via Unione, Auronzo di Cadore, Belluno, Veneto, 32041, Italia;Auronzo;Esso;46.548959;12.448926
gas_87;Q8, Strada Statale dell'Abetone e del Brennero - Brenner-Staatsstraße, Bronzolo - Branzoll, Überetsch-Unterland - Oltradige-Bassa Atesina, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39051, Italia;Bronzolo - Branzoll;Q8;46.3919303;11.3153097
gas_88;Tamoil, Strada Statale delle Dolomiti, Castello di Fiemme, Castello-Molina di Fiemme, Comunità territoriale della Val di Fiemme, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38099, Italia;Castello di Fiemme;Tamoil;46.285038;11.436596
gas_89;IP, Via Segherie, Predaia, Molina di Fiemme, Castello-Molina di Fiemme, Comunità territoriale della Val di Fiemme, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38099, Italia;Molina di Fiemme;IP;46.2725849;11.4194858
gas_90;Esso, Via Nazionale, Lases, Lona-Lases, Comunità della Valle di Cembra, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38040, Italia;Lases;Esso;46.150321;11.2224209
gas_91;IP, Strada Provinciale 71 Fersina - Avisio, Scancio, Segonzano, Comunità della Valle di Cembra, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38047, Italia;Segonzano;IP;46.1879342;11.2590113
gas_92;Agip Eni, Corso Dolomiti, La Bìra, Al Fol, Predazzo, Comunità territoriale della Val di Fiemme, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38037, Italia;Predazzo;Eni;46.3171607;11.597161
gas_93;Esso Oberrauch, Hauptstraße - Via Principale, Unterkreuth - Novale di sotto, Terlan - Terlano, Überetsch-Unterland - Oltradige-Bassa Atesina, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39018, Italia;Terlan - Terlano;Esso Oberrauch;46.5393951;11.2399303
gas_94;Q8, Unterbirchabruck - Ponte Nova di Sotto, Birchabruck - Ponte Nova, Deutschnofen - Nova Ponente, Salten-Schlern - Salto-Sciliar, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39050, Italia;Deutschnofen - Nova Ponente;Q8;46.4261403;11.4800263
gas_95;Q8, Bozner Straße - Via Bolzano, Obervöls - Fiè di Sopra, Völs am Schlern - Fiè allo Sciliar, Salten-Schlern - Salto-Sciliar, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39050, Italia;Völs am Schlern - Fiè allo Sciliar;Q8;46.5177554;11.5045085
gas_96;Esso, Schlernstraße - Via Sciliar, Seis am Schlern - Siusi allo Sciliar, Kastelruth - Castelrotto, Salten-Schlern - Salto-Sciliar, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39040, Italia;Kastelruth - Castelrotto;Esso;46.5446896;11.5623571
gas_97;Q8, SS48, Vigo di Fassa - Vich, Sèn Jan, San Giovanni di Fassa - Sèn Jan, Comun General de Fascia, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38036, Italia;San Giovanni di Fassa - Sèn Jan;Q8;46.4197614;11.6806829
gas_98;Esso, Strada de la Comunità de Fiem, Sorte, Moena, Comun General de Fascia, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38035, Italia;Moena;Esso;46.3686743;11.6517974
gas_99;OMV, Brenner Autobahn, Brennersee, Gries am Brenner, Bezirk Innsbruck-Land, Tirol, 6156, Österreich;Gries am Brenner;OMV;47.0144427;11.5058709
gas_100;Q8, Dantestraße - Via Dante, Bruneck - Brunico, Dietenheim - Teodone, Bruneck - Brunico, Pustertal - Val Pusteria, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39031, Italia;Dietenheim - Teodone;Q8;46.7979254;11.9468169
