gid	osm_id	code	fclass	name	coordinates
80601	1975795639	4132	cave_entrance	Migghöhle	POINT(11.5405153 46.5138404)
80656	1996153213	4132	cave_entrance	\N	POINT(11.3057293 46.480494)
80804	2017900155	4132	cave_entrance	Alte Kuchl	POINT(11.7749937 46.8189902)
81119	2073143449	4132	cave_entrance	\N	POINT(11.7966189 46.3083403)
185398	2337990252	4132	cave_entrance	Tana del Lupo	POINT(11.8290331 45.7919277)
185399	2337990263	4132	cave_entrance	\N	POINT(11.8258922 45.7919912)
185525	2360704496	4132	cave_entrance	Bus de Re Fos	POINT(11.8279132 45.8724449)
185566	2371162456	4132	cave_entrance	Riparo Dalmeri	POINT(11.6016642 45.9951297)
185581	2378422899	4132	cave_entrance	Grotta di Castel Tesino	POINT(11.6814614 46.0885855)
186101	2388250860	4132	cave_entrance	\N	POINT(11.682067 46.4752418)
208299	2520320544	4132	cave_entrance	Bus de le Zaule	POINT(11.3595443 45.9781545)
218072	2572148584	4132	cave_entrance	Bus de la Bela	POINT(11.7033961 46.0571436)
222123	2694954427	4132	cave_entrance	\N	POINT(12.0909574 46.6518614)
223009	2806941025	4132	cave_entrance	Leute Kubele	POINT(11.4400845 45.8550446)
223092	2836281132	4132	cave_entrance	Grotta di Costalta	POINT(11.3744918 45.9888791)
223643	2905502437	4132	cave_entrance	\N	POINT(11.5477486 46.0611476)
223644	2905502440	4132	cave_entrance	\N	POINT(11.5489228 46.0592849)
223645	2905502441	4132	cave_entrance	\N	POINT(11.5486038 46.0595428)
223646	2905502442	4132	cave_entrance	\N	POINT(11.548697 46.0595712)
223647	2905502443	4132	cave_entrance	\N	POINT(11.5473221 46.0608425)
223652	2915099576	4132	cave_entrance	Caverna del Sieson	POINT(11.3889341 45.8943848)
223929	2956168524	4132	cave_entrance	\N	POINT(11.8919518 46.1494527)
224327	3022648106	4132	cave_entrance	Grotta del Calgeron	POINT(11.6192771 46.0074146)
224530	3065560300	4132	cave_entrance	Buso della Val Lunga	POINT(11.6060567 45.8315161)
224531	3065563084	4132	cave_entrance	Buso dell'Asinello	POINT(11.6221913 45.8174881)
224716	3100636228	4132	cave_entrance	Galleria 6	POINT(11.8346006 45.8675671)
224717	3100639940	4132	cave_entrance	\N	POINT(11.8346972 45.8675074)
225742	3124329398	4132	cave_entrance	\N	POINT(11.8220023 45.8824158)
225803	3138729101	4132	cave_entrance	Buso del Diavolo	POINT(11.5473979 45.983988)
225805	3138737125	4132	cave_entrance	Abisso di Malga Fossetta	POINT(11.5488313 45.9911674)
225841	3141968009	4132	cave_entrance	Buso del Ghiaccio	POINT(11.5001728 45.9930214)
225854	3142654125	4132	cave_entrance	Buso della Capra	POINT(11.5033632 45.9823993)
225856	3142662177	4132	cave_entrance	Grotta del Lago	POINT(11.5131038 45.979828)
225877	3144490927	4132	cave_entrance	Grotta della Capra	POINT(11.490113 45.978234)
226524	3165000823	4132	cave_entrance	Abisso Spaurasso	POINT(11.8016786 45.8801782)
228016	3259596306	4132	cave_entrance	Buso della Neve	POINT(11.5071642 45.9500135)
228025	3261825626	4132	cave_entrance	\N	POINT(11.5983134 45.9185745)
228712	3327559926	4132	cave_entrance	\N	POINT(11.4531932 46.0410676)
228713	3327559928	4132	cave_entrance	\N	POINT(11.4529586 46.0410885)
228714	3327561525	4132	cave_entrance	\N	POINT(11.4531422 46.0431729)
228715	3327562014	4132	cave_entrance	\N	POINT(11.4530532 46.0419868)
229639	3424543555	4132	cave_entrance	Buso della Spaluga	POINT(11.5499727 45.8004105)
229749	3440716585	4132	cave_entrance	Buso della Giassara	POINT(11.6025909 45.8126965)
229898	3463922352	4132	cave_entrance	\N	POINT(11.44839 45.8013665)
230173	3499829838	4132	cave_entrance	\N	POINT(11.6393222 45.8457228)
232459	3680047687	4132	cave_entrance	\N	POINT(11.8618808 46.4261284)
232969	3699523909	4132	cave_entrance	Galleria Cima Neutra	POINT(11.3455036 45.8191324)
232970	3699523916	4132	cave_entrance	Galleria Cima Neutra	POINT(11.3462828 45.8201689)
233424	3725379464	4132	cave_entrance	Bärenhöhle	POINT(11.5373061 46.651802)
233425	3725379465	4132	cave_entrance	Lorenzstollen	POINT(11.5419305 46.6542238)
233426	3725384097	4132	cave_entrance	\N	POINT(11.5391401 46.6526451)
235351	3814275357	4132	cave_entrance	\N	POINT(11.7960306 46.3101271)
236637	3901176788	4132	cave_entrance	\N	POINT(11.5474673 46.0528341)
237969	3965874079	4132	cave_entrance	\N	POINT(11.5445762 46.0497297)
237970	3965874080	4132	cave_entrance	\N	POINT(11.5444412 46.0497653)
238240	3978094865	4132	cave_entrance	\N	POINT(11.463743 46.0690698)
238241	3978094872	4132	cave_entrance	\N	POINT(11.4648447 46.0703085)
238242	3978096396	4132	cave_entrance	\N	POINT(11.4633354 46.0685073)
238243	3978096398	4132	cave_entrance	\N	POINT(11.4633406 46.0686059)
238279	3978703178	4132	cave_entrance	\N	POINT(11.4665251 46.0716043)
238281	3978712105	4132	cave_entrance	\N	POINT(11.4655738 46.0712496)
238282	3978712655	4132	cave_entrance	\N	POINT(11.4658422 46.0709746)
238534	3990602092	4132	cave_entrance	Abisso Est	POINT(11.5641315 45.8123402)
238535	3990647807	4132	cave_entrance	Voragine di Cima Spiz	POINT(11.3103204 45.8755769)
